n_features,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc,trial,ablation,bands,types
12,0.5991580856661323,0.14994781944056562,0.6903099201515767,0.24637789665624132,0.7090474999241111,0.6669743381152777,0.3148502347935901,0.7629084967320261,0.44574339747094716,0.7898729110097603,1,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.6498673645478272,0.2583019604121189,0.46778197929796417,0.33282378438606147,0.6190446845799148,0.7511333206823118,0.5840105202818896,0.4287977817389582,0.49451098516752556,0.780662800397656,2,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.7111965269212451,0.16820861627269573,0.4261904761904762,0.2412147366225766,0.6200685713756581,0.7423794218315936,0.5139316377774178,0.45549991923760297,0.4829548157521669,0.6586679609913084,3,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.6654386951631046,0.4548935203711916,0.3432659190702382,0.39127380980068377,0.6890120530988547,0.824385938174706,0.23666233126665234,0.4542854372697305,0.3112022515753555,0.7332229290663093,4,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.6720880326572761,0.3425591882750846,0.24407092796754826,0.28504755092228856,0.5916209153485658,0.6449488950478788,0.3298686312799574,0.34751912323028294,0.33846392043643386,0.5953585185079241,5,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.773792447455696,0.4407664447726767,0.2621798575004814,0.3287877987487831,0.7414356341580719,0.48497756891829974,0.2730793926966176,0.07691320428903123,0.12002203074290033,0.4042425111844833,6,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.4026848119522207,0.2574815264264199,0.09661340813920397,0.14050564056476597,0.3929704246900493,0.7367368592882795,0.3318406889128095,0.31529209621993126,0.3233548008139462,0.608390961054673,7,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.6969537049602187,0.5387360594795539,0.23232177495631542,0.32464521332004165,0.6878634467066834,0.5257124669241476,0.7274806678587187,0.2623084652097463,0.38558584062082674,0.6476117076117929,8,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.7597484200242418,0.5349063160962922,0.5597081456456456,0.5470262503200559,0.7405653279539834,0.7241283737630578,0.21108994932154132,0.4809459459459459,0.2934034377418808,0.6629261605071524,9,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
12,0.7670841472289249,0.1888677026160097,0.4093191209979531,0.2584716311624334,0.6094098030664548,0.5916428776914736,0.04403859669116949,0.08985389295818316,0.059107711918419376,0.27237845793711335,10,Full (baseline),"delta,theta,alpha,beta","slope,intercept,midband"
9,0.6992988757347803,0.1741845206376583,0.5795236161862227,0.26785976786445936,0.6866594426526051,0.7110313251252849,0.34175014367502526,0.6978312537136067,0.45880761586655144,0.765723363693251,1,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.6602927963261406,0.2502851224280793,0.4107272449486269,0.3110347819798973,0.5929258543040951,0.7545982949234262,0.5995600159994182,0.40821202218261043,0.4857201773378699,0.7742844562991582,2,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.7134679497356112,0.1552704372903302,0.37389455782312925,0.219420301908762,0.5848304430279828,0.7498459292127694,0.5322049065828531,0.4376155350957483,0.4802974343822327,0.6471404038520274,3,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.6881199509152265,0.5032510867568726,0.33542268579730017,0.4025446763079666,0.7107020736274658,0.844727662204611,0.24066443679609612,0.3610141555167733,0.288802924095673,0.671671759742877,4,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.6989259456465032,0.39506382400869094,0.2336887764323152,0.29366711670220685,0.6158302960508153,0.6553043078712869,0.3496379527795172,0.3707101311040042,0.3598658321267605,0.5966647137230119,5,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.7736067875236525,0.4334351419331656,0.2322838436356634,0.3024699097291876,0.7269908107106824,0.5034019585904116,0.3399850602923914,0.09293289929644019,0.14596667414978765,0.4863587060873463,6,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.4575007498900846,0.35909622126996493,0.09369028743342685,0.14860790920375952,0.49301439002339725,0.7302726085537056,0.3006565227465822,0.26540937107947415,0.2819355820000435,0.5594907742450521,7,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.6885099239557103,0.5068911404496299,0.23819714968178393,0.3240958862278061,0.6730803329241781,0.5191614291618567,0.6960579572855666,0.2707066901113623,0.3898105836819831,0.6708255736656936,8,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.757814748602446,0.5318977385959974,0.546851539039039,0.5392709927932166,0.7265388256700434,0.6930076782502029,0.18598382749326145,0.46725225225225225,0.26606418406214066,0.6205513217493621,9,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.7701539698954384,0.1746407148510886,0.35362839377437916,0.2338123296328688,0.5468112731353216,0.6504210095377193,0.03995570048606411,0.0629190404216564,0.048874472232466076,0.29707284390982197,10,Drop Delta,"theta,alpha,beta","slope,intercept,midband"
9,0.5960121469971636,0.1506014998286408,0.7017593720395182,0.24798419879673647,0.7148666118299657,0.6604715195319222,0.31249329247206686,0.7785502079619727,0.44597986742794904,0.7965544508093092,1,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.6525058117147055,0.2613178089441651,0.4714869561896031,0.33626402064874655,0.6228960887867565,0.7467265481687646,0.5730088495575221,0.42320261437908496,0.4868421052631579,0.7748688939045025,2,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.7119200849951762,0.1686483454851374,0.4261621315192744,0.24166197862251868,0.6195653429995773,0.741905357870884,0.5128390887869275,0.45736642796891547,0.48351690051322915,0.6609866670440754,3,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
