n_features,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc,trial,feature_set
12,0.5991580856661323,0.14994781944056562,0.6903099201515767,0.24637789665624132,0.7090474999241111,0.6669743381152777,0.3148502347935901,0.7629084967320261,0.44574339747094716,0.7898729110097603,1,Spectral Slope
12,0.6498673645478272,0.2583019604121189,0.46778197929796417,0.33282378438606147,0.6190446845799148,0.7511333206823118,0.5840105202818896,0.4287977817389582,0.49451098516752556,0.780662800397656,2,Spectral Slope
12,0.7111965269212451,0.16820861627269573,0.4261904761904762,0.2412147366225766,0.6200685713756581,0.7423794218315936,0.5139316377774178,0.45549991923760297,0.4829548157521669,0.6586679609913084,3,Spectral Slope
12,0.6654386951631046,0.4548935203711916,0.3432659190702382,0.39127380980068377,0.6890120530988547,0.824385938174706,0.23666233126665234,0.4542854372697305,0.3112022515753555,0.7332229290663093,4,Spectral Slope
12,0.6720880326572761,0.3425591882750846,0.24407092796754826,0.28504755092228856,0.5916209153485658,0.6449488950478788,0.3298686312799574,0.34751912323028294,0.33846392043643386,0.5953585185079241,5,Spectral Slope
12,0.773792447455696,0.4407664447726767,0.2621798575004814,0.3287877987487831,0.7414356341580719,0.48497756891829974,0.2730793926966176,0.07691320428903123,0.12002203074290033,0.4042425111844833,6,Spectral Slope
12,0.4026848119522207,0.2574815264264199,0.09661340813920397,0.14050564056476597,0.3929704246900493,0.7367368592882795,0.3318406889128095,0.31529209621993126,0.3233548008139462,0.608390961054673,7,Spectral Slope
12,0.6969537049602187,0.5387360594795539,0.23232177495631542,0.32464521332004165,0.6878634467066834,0.5257124669241476,0.7274806678587187,0.2623084652097463,0.38558584062082674,0.6476117076117929,8,Spectral Slope
12,0.7597484200242418,0.5349063160962922,0.5597081456456456,0.5470262503200559,0.7405653279539834,0.7241283737630578,0.21108994932154132,0.4809459459459459,0.2934034377418808,0.6629261605071524,9,Spectral Slope
12,0.7670841472289249,0.1888677026160097,0.4093191209979531,0.2584716311624334,0.6094098030664548,0.5916428776914736,0.04403859669116949,0.08985389295818316,0.059107711918419376,0.27237845793711335,10,Spectral Slope
4,0.1876027664734657,0.08099373439600538,0.7305724725943971,0.1458212337888615,0.4114526371722512,0.17881186673132982,0.14134795593521793,0.7248366013071895,0.2365643005873384,0.37033235973199163,1,Band Power
4,0.21240263914095583,0.17550209329381694,0.8771156947627536,0.29248154883632066,0.49103922164086267,0.3485743001525151,0.28818509172360995,0.880718954248366,0.4342701584230331,0.6220292160004235,2,Band Power
4,0.18845237739308957,0.11289386123579197,0.8362072530289874,0.1989306811865799,0.4912490418316659,0.2928127162916821,0.24836495717520604,0.8277427807390657,0.38208497726966767,0.5047398055356,3,Band Power
4,0.3235822924193937,0.2951848883800801,0.9506680824705779,0.45049112275098624,0.6228996080575704,0.24561837994361047,0.0862904178645977,0.7966114019778942,0.15571364608725935,0.5624646022202031,4,Band Power
4,0.7026047297115596,0.3482221731448763,0.1266542161174368,0.18574857529929759,0.5852254419253303,0.7013989705688267,0.3652475370111608,0.1931025454001384,0.25263801804557273,0.580062704402763,5,Band Power
4,0.6476784878634356,0.3162687734460955,0.5743067590987868,0.4079054221553559,0.6254373696532533,0.4749981351832316,0.43242502936668054,0.47891070741012987,0.45448229090254805,0.4725632972622969,6,Band Power
4,0.43455205880781855,0.24730068238749245,0.05819815424645282,0.09422257326685425,0.5400633773310399,0.7588012841440853,0.32917121897924145,0.20131729667812143,0.24983711425694485,0.5030647908175894,7,Band Power
4,0.6592758452576609,0.4451615517887719,0.3521778162522644,0.3932479179439445,0.6206049473222202,0.5591968684234279,0.6998132411289536,0.3906221217449552,0.501382369615274,0.6241357710117226,8,Band Power
4,0.39086309849562795,0.27375202132315746,0.8168480980980981,0.410074809247216,0.6529466153032291,0.18963346815868623,0.10938961918137637,0.8127927927927928,0.1928275640968555,0.4896460099313997,9,Band Power
4,0.8258684744724042,0.23296493382453268,0.3297030085351253,0.27301800505292784,0.5623719223591077,0.6912854898315962,0.03507222118901494,0.043851490136805796,0.03897356410918798,0.3290748912323693,10,Band Power
3,0.3999504151765528,0.11188294909225142,0.7670591419677899,0.19528212337180195,0.5715443284169163,0.43308667469741297,0.19942249775727283,0.7396761734997029,0.3141481817952406,0.6164638720291058,1,Hjorth
3,0.3292813571284533,0.19662786298649096,0.8470503352856295,0.31916676528252647,0.49705213074240473,0.5383044819758085,0.34811817466845174,0.7177782729253317,0.4688479124806449,0.6176244666745863,2,Hjorth
3,0.34425608674420227,0.1261190704927391,0.7491419592275566,0.2158923666350869,0.5084901861545029,0.5286974618615543,0.3066908495720068,0.6221306915055905,0.4108470397904549,0.5972332989722795,3,Hjorth
3,0.597703967516603,0.4023520836971294,0.7815680028316079,0.5312276023837329,0.6851129441988778,0.43897906135961456,0.10650658676738478,0.7340992825286019,0.18602394245947657,0.6186201338152882,4,Hjorth
3,0.5436882499421829,0.3209195848684446,0.630590196196558,0.4253634550324934,0.5689194361496351,0.41433627107376614,0.27544482540370213,0.7610110531335914,0.4044871778941378,0.5312384063541146,5,Hjorth
3,0.5374015748031497,0.2974272967342989,0.8729660119391488,0.44368661226587064,0.7097421161897995,0.4782642285519431,0.4626443020748918,0.8825825195141587,0.6070675475854652,0.4723029557047548,6,Hjorth
3,0.5550727496106735,0.5398167781000274,0.8104362320608204,0.6480075546648593,0.567539287068847,0.41129611492001306,0.18324136648273295,0.564242077128675,0.2766415500538213,0.4727965032664565,7,Hjorth
3,0.583666309816398,0.4096825466908031,0.7437519036855352,0.5283389513961645,0.6673721861575084,0.6539921425551423,0.6532871448686063,0.8313698400736833,0.7316480973855631,0.690491255205518,8,Hjorth
3,0.6432741070451312,0.37889868085299133,0.5887371746746747,0.4610654670949685,0.6818971816499323,0.44531168975148505,0.1389764094599281,0.704024024024024,0.23212972887338762,0.6034968920349582,9,Hjorth
3,0.3803133019265387,0.09201140798558992,0.5918394932993473,0.1592627427342122,0.4985443727155016,0.32361028126313923,0.1297761196894155,0.6551951323489517,0.2166415182590254,0.378241431889603,10,Hjorth
4,0.39368551403790025,0.08364638850076556,0.5412099066179455,0.14489812925971152,0.43885069288733997,0.36782382419966314,0.13899905182009317,0.5008467023172906,0.2176062473781019,0.379792468496877,1,Time Domain
4,0.3058832425892317,0.18181137104755746,0.7827688651218063,0.29508438021976613,0.46948951771645503,0.4939415663370373,0.335558110378767,0.7984749455337691,0.4725342749246373,0.5735846158038409,2,Time Domain
4,0.25896443128930347,0.10157572267280958,0.6564115287598726,0.17592769608861772,0.40650665722976836,0.39888452750045034,0.22101817582391706,0.5053303182038443,0.30753057529892663,0.39685805313397426,3,Time Domain
4,0.5670615257561681,0.3865318050863266,0.8251039730997257,0.5264435630707561,0.6287039226770467,0.3240684294749676,0.09294516156420263,0.7695123133604809,0.1658573283214436,0.47702037131408476,4,Time Domain
4,0.42443702233624303,0.25109405858759865,0.5795630258850935,0.3503848581973582,0.44035810999781505,0.3692509983918193,0.2590489369571594,0.7597392881856777,0.3863602859004294,0.4439468916322802,5,Time Domain
4,0.48880445176911025,0.26517004309829756,0.8012227999229732,0.3984653231260961,0.5669020049324414,0.43499515147640205,0.43199745866145023,0.7536782293161586,0.549200903778995,0.4410800161773087,6,Time Domain
4,0.41574111739786085,0.44249385429361054,0.6008090417530593,0.5096397404572518,0.30001323555275095,0.4169196865817826,0.17926901955074687,0.5372961326569574,0.2688396180390899,0.4597370421769663,7,Time Domain
4,0.4945819071887738,0.3490453767292539,0.7076339793840876,0.46749539960549136,0.5268894418403846,0.5815768096113557,0.6047623662129966,0.7576948840324876,0.6726454732468228,0.5453925019683961,8,Time Domain
4,0.54630676866074,0.28497035480126737,0.49727852852852855,0.36231343177279346,0.5499065825517986,0.41044842840845286,0.12588019156608687,0.6646096096096096,0.21166923304991536,0.49957844730135764,9,Time Domain
4,0.3203205791106515,0.08847877970040972,0.6292627351021511,0.15514331486899205,0.4000866154216619,0.2672193454159198,0.11087030287109097,0.5888268805952797,0.1866047659841011,0.3652713574944047,10,Time Domain
4,0.4536561742097258,0.12396016804240867,0.7838949790228719,0.2140688492903116,0.6770748719927013,0.49983312734990587,0.23995923124156743,0.8533273915626857,0.374583902529677,0.757012949204511,1,Spectral Entropy
4,0.6035695830812664,0.23102556990621823,0.4878363466598761,0.3135586053756489,0.5813309883454401,0.755360870390284,0.5735296053930927,0.5392033075856605,0.5558369966758755,0.7533091842753293,2,Spectral Entropy
4,0.6151498390488435,0.13472833309234128,0.4045610552867717,0.2021394738609187,0.5393038187067819,0.6743962795460363,0.4106998946128572,0.5350508803101276,0.46470031213832286,0.6424192860460038,3,Spectral Entropy
4,0.6776027149788376,0.4456377064017828,0.43205616022180926,0.4387418520279605,0.6501670476003115,0.7734406089393516,0.17965850760224805,0.4470864843901493,0.256317614279858,0.632803828620211,4,Spectral Entropy
4,0.6405628969886679,0.33718229350870316,0.3541880032933711,0.34547600276184925,0.5946560219028016,0.5767551899266298,0.3210418242732087,0.5555742579812601,0.40693429407050735,0.6046833027818919,5,Spectral Entropy
