trial,silhouette_score,davies_bouldin_index,n_samples
1,0.008909260775501821,8.81211390358232,10000
2,0.012327072131232688,6.337333741571049,10000
3,0.004549128216612555,9.774028726901244,10000
4,0.020458242557807985,5.200875301249458,10000
5,0.02581924382751964,3.8564348791230625,10000
6,0.04940683222932296,3.46179073079135,10000
7,0.0628345793837511,3.095949111855277,10000
8,0.03546596750448171,3.9886998703520016,10000
9,0.0028962172389928966,11.336140677861371,10000
10,0.026806262625583197,4.501673656304135,10000
