trial,ratio,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc
1,50:50,0.09491768405475398,0.09491768405475398,1.0,0.17337866661035203,0.7013386863358742,0.17552916881775943,0.17552916881775943,1.0,0.29863855950812473,0.7550865208317363
1,60:40,0.09491768405475398,0.09491768405475398,1.0,0.17337866661035203,0.7005013949042058,0.17552916881775943,0.17552916881775943,1.0,0.29863855950812473,0.7539314360403884
1,40:60,0.10246845069264603,0.09546076110659325,0.9976857490864799,0.1742489960219067,0.6670368297454824,0.18028764673059974,0.17595752550384688,0.99640522875817,0.29909684150917315,0.670399432091189
1,30:70,0.12181295474164508,0.09631541245215015,0.9844363242658005,0.17546377652369932,0.7033154088469333,0.19531922216485975,0.17813467079287162,0.9918597742127154,0.30202641577709427,0.7505462112603107
1,20:80,0.8078999157314918,0.23057472738021467,0.4381107051021789,0.3021368538455436,0.6854996710678064,0.7988715237037385,0.43670869755808256,0.503149138443256,0.46758051379743515,0.7323613161518626
1,Natural,0.19783059974513914,0.10128701657218503,0.9464338882122073,0.18299045954333504,0.6824589790810145,0.2504732404061263,0.18625849758433452,0.9706773618538325,0.3125443914337985,0.7088240679332335
2,50:50,0.18673075003208922,0.18670175213400936,1.0,0.31465657111952405,0.5658985189918049,0.2838959523759321,0.28389091931402866,1.0,0.44223526320399403,0.5820013572429444
2,60:40,0.18670757448265043,0.1866974251643256,1.0,0.3146504259726915,0.5738171803112444,0.2838959523759321,0.28389091931402866,1.0,0.44223526320399403,0.6300516226545518
2,40:60,0.18700529115621034,0.18673738350091132,0.9998663152667965,0.31470055210095904,0.5658900288803103,0.28620476381245563,0.2844886814057958,0.9995172311348782,0.4429128189375468,0.5923322804803419
2,30:70,0.18832094927050502,0.1867574947461722,0.9979374355448608,0.31463339735908813,0.578703176626275,0.29608661732768254,0.2868484971698214,0.9955436720142602,0.44537110105079536,0.6461080430565606
2,20:80,0.5917573484319066,0.22893873562616693,0.5011363202322294,0.3142951251646904,0.5694893887987701,0.7336784250883814,0.5347979228445335,0.47551495345612993,0.5034171400863623,0.6236180270439564
2,Natural,0.5642283611677624,0.22495117802696232,0.5455673962033536,0.3185543673405667,0.5761361917041904,0.7284071661008849,0.5217267116227662,0.5200410972469796,0.520882540745287,0.6389191064773359
3,50:50,0.11022811923748581,0.10793337884126201,0.9994331065759637,0.19482654304445482,0.5825006960091486,0.26416266082619866,0.26410397443313827,0.9996410560132092,0.4178203190344202,0.5763480499788651
3,60:40,0.10785289484289326,0.10772007071820505,0.9999433106575963,0.19448862524360697,0.5880714077319834,0.26416266082619866,0.2641487072030644,1.0,0.4179076491522818,0.5920338649424246
3,40:60,0.13317742743048347,0.10914304038632033,0.9840136054421769,0.19649194301529893,0.6101155458008952,0.28782319310521376,0.2655131176094044,0.9603007950609307,0.41600516245403163,0.6394093305563681
3,30:70,0.21151403763723178,0.1109176248887648,0.900907029478458,0.19751736138083179,0.6104064425078657,0.34181196727062413,0.2650987839583104,0.8417774906225883,0.4032143325359829,0.6423643892523765
3,20:80,0.744935093482482,0.17945754967591115,0.38296485260770974,0.24439259098473337,0.6138289323757522,0.7426259350911625,0.5174176078842729,0.38066907159137814,0.4386322276449665,0.6339476680606411
3,Natural,0.6099411383980363,0.14667430754536773,0.5441043083900227,0.2310613583701965,0.6163350501707702,0.6731897867660305,0.4031489947834242,0.4937723218291786,0.443882448795205,0.63363253530124
4,50:50,0.3133398097965027,0.3132676750631526,0.9999836769338752,0.4770793665627032,0.5672398060801418,0.0873974446899845,0.08733369320166386,1.0,0.16063825437894602,0.5988821749626819
4,60:40,0.31343695674404337,0.31329811444264316,0.9999836769338752,0.4771146642160108,0.563958597752145,0.0874440126326128,0.0873377606256073,1.0,0.1606451349125536,0.6075799616322248
4,40:60,0.3135647816750179,0.313332446754097,0.9999347077355011,0.47714889921369624,0.594765836531732,0.0874821136765814,0.08734108879973748,1.0,0.16065076487847807,0.6150252525247415
4,30:70,0.3164894160957153,0.3140486742706306,0.9981963011932161,0.4777800348456556,0.5788057494660817,0.09187643408096048,0.08753369257901668,0.9973337211557107,0.1609418851392977,0.5948916185228393
4,20:80,0.6876521116678597,0.5039996322177271,0.17894977392553418,0.264120941998434,0.5270074785676244,0.8858513889947252,0.32023380529466844,0.27356020942408377,0.2950626805579158,0.5712059265943963
4,Natural,0.6885954596584518,0.5090624131044769,0.16435695281001583,0.24848690501897153,0.6836332339628327,0.8918586535937751,0.3444490144588224,0.2638888888888889,0.2988347995553299,0.642727739349523
5,50:50,0.26784667430390846,0.2678309228890909,1.0,0.4225025877721403,0.6618950917940466,0.26426466059566234,0.26200904418111903,0.9990929323533262,0.4151470525379143,0.5837484285107649
5,60:40,0.26782785011644106,0.26782588117603084,1.0,0.4224963146005451,0.6123770341596018,0.2624096314871028,0.26160746401227364,0.9997755708915447,0.4147015528907973,0.5969200000702006
5,40:60,0.26804029451785877,0.2678827915283688,1.0,0.42256712263670615,0.6352830835745318,0.2648487870211508,0.26215102682832864,0.9989994202248031,0.4153171803170345,0.584546686494233
5,30:70,0.33260994670065774,0.28365458818321865,0.9780207643030705,0.4397645980581823,0.6483752365144452,0.29158173615082683,0.2631142721718162,0.949942957601601,0.4120886364788804,0.5749433395309764
5,20:80,0.6317370422360984,0.3633256486259011,0.4984537221117738,0.42029556066359336,0.6448240227825596,0.5341995023927187,0.30457170625946206,0.6095307561390713,0.4061816482318118,0.56778722064316
5,Natural,0.6882553205221291,0.3813598721487723,0.2635600538185031,0.3117014202251461,0.6280691371147741,0.6387410242498008,0.3358922061445067,0.3911612336119995,0.3614260040091242,0.5913296239328838
6,50:50,0.21131660867972898,0.21131660867972898,1.0,0.34890400604686317,0.7393024383885222,0.45665100220581184,0.45665100220581184,1.0,0.6269875234552458,0.407054164555268
6,60:40,0.21131660867972898,0.21131660867972898,1.0,0.34890400604686317,0.7375250024983078,0.45665100220581184,0.45665100220581184,1.0,0.6269875234552458,0.40965143465650444
6,40:60,0.2113191519664693,0.21131567770207202,0.9999879645676872,0.3489020045057813,0.7385356783769762,0.4566536662297667,0.45665198777736044,0.9999941661707912,0.6269873057501788,0.4094944691743736
6,30:70,0.21132932511343058,0.21131635904909418,0.9999759291353746,0.34890220063787214,0.7388119576513714,0.45665100220581184,0.4566505402698152,0.9999883323415824,0.6269847946713681,0.4165854288401343
6,20:80,0.7169296425156158,0.3768410759653917,0.5194853649143077,0.43681278367834353,0.7360649577252886,0.45494069882676386,0.3586891723867759,0.24570921861691578,0.2916395463169411,0.4099103070019822
6,Natural,0.75817921015687,0.41259546435025946,0.340711053341036,0.3732234673698088,0.7347484940793784,0.48521733107424103,0.34370030800085954,0.13996523037791544,0.19892297041277843,0.4159116297183969
7,50:50,0.5053437372878222,0.5053437372878222,1.0,0.6713997936422149,0.36808457168234826,0.19951028403525956,0.19951028403525956,1.0,0.3326528945864293,0.6426565423397155
7,60:40,0.5053581187414995,0.5053510049698909,1.0,0.6714062079893436,0.3782404441518463,0.19951028403525956,0.19950701389720205,0.9999727267768505,0.33264684001379036,0.6386233446739175
7,40:60,0.5053437372878222,0.5053437372878222,1.0,0.6713997936422149,0.37716739691278217,0.19951028403525956,0.19951028403525956,1.0,0.3326528945864293,0.6400604587619533
7,30:70,0.5059950116900673,0.5056731858448925,0.9999796723177623,0.6716859121140499,0.3930981565664806,0.2010909783436718,0.1993132306818833,0.9957317405771015,0.33214232916747216,0.6270445998328148
7,20:80,0.45426903179944855,0.4732416068647842,0.7067243972842217,0.5668830935896976,0.41281226947134486,0.2967869191424529,0.21193516164467113,0.9287350679103257,0.3451157251985761,0.6200072493096231
7,Natural,0.4213971376798195,0.3795077314013841,0.22830019921128594,0.28509562418451634,0.3899464741195455,0.6487893133093917,0.27944306000553776,0.4816860306551028,0.353695109068425,0.631123262788806
8,50:50,0.3135231173635299,0.3135213922221524,1.0,0.47737538814156955,0.6475609655153268,0.5673535992703123,0.5673582821648713,0.9999790672360378,0.7239620825787484,0.6216013522046515
8,60:40,0.3135381955438951,0.3135251823872818,0.999991984481957,0.47737886832161475,0.6476431501328587,0.5673535992703123,0.5673582821648713,0.9999790672360378,0.7239620825787484,0.6228359058781069
8,40:60,0.31354070857395594,0.3135240957799714,0.9999759534458712,0.4773757820422064,0.6559520222628781,0.5673559745559403,0.5673586698337292,0.9999916268944151,0.7239656896917528,0.625008649455489
8,30:70,0.3138221679407729,0.3135889377749843,0.999775565494798,0.4774280967946902,0.6593091431272291,0.5673749768409652,0.5673723317829604,0.9999539479192833,0.723966937138735,0.632142515761527
8,20:80,0.31392268914320753,0.31360454239129343,0.9996393016880681,0.47743064195668733,0.6553747611546517,0.5673821026978494,0.5673846987187559,0.99984509754668,0.7239484736555726,0.6250266580775194
8,Natural,0.660248387891216,0.4567031690725071,0.4412622837814008,0.4488499702402792,0.6490115644506285,0.5660068123191814,0.6632342167385717,0.4775475173741941,0.5552786202129265,0.6246591211291742
9,50:50,0.25919912761826003,0.2591847117748765,0.9999687187187187,0.4116680268955071,0.695371350750837,0.11920063228441355,0.11910160986304898,0.999984984984985,0.21285184202704474,0.5888560358134207
9,60:40,0.25918088543503554,0.25918193611156154,0.9999843593593594,0.41166585108300924,0.6284578808815109,0.11911837809034372,0.11909317521002243,1.0,0.212838712357748,0.5554852671218968
9,40:60,0.2594058723614709,0.25923830956218513,0.9999687187187187,0.41173563112907874,0.6765710603611115,0.11962442019733854,0.11914802257865405,0.9999399399399399,0.2129249362545661,0.5801069401273099
9,30:70,0.36248028830757134,0.274077821727532,0.885424486986987,0.41858513411094883,0.6362549439385075,0.20065195389473608,0.11985762734897887,0.9005105105105106,0.211557082562432,0.5460329776656947
9,20:80,0.7786067836598685,0.6477908654227239,0.3195539289289289,0.42798414252871153,0.7235348869845112,0.8168038165946049,0.2532995692324631,0.27635135135135136,0.2643238236117793,0.6173832234837539
9,Natural,0.7730895366890843,0.6054293848904191,0.3575372247247247,0.4495764232718905,0.7104487036726014,0.7866665951412806,0.22168829934415496,0.3151801801801802,0.26029376205149823,0.5987098228217134
10,50:50,0.10069133249071202,0.09923898426364486,0.9989379368941412,0.18054210444575902,0.5576528669590677,0.1428196021155591,0.14276032056477828,1.0,0.24985172830331184,0.3287634727564097
10,60:40,0.1006530315216975,0.09923671443835495,0.9989572471324296,0.18053866354903722,0.5516844905091391,0.14282236827546527,0.14276071549105637,1.0,0.24985233313644417,0.3504496497115591
10,40:60,0.10467463326822168,0.09928461409450959,0.9945352025643996,0.18054535543453684,0.5643585394064136,0.14535617074951868,0.14311744932938397,0.9999418672247413,0.25039668098114853,0.32014353896598396
10,30:70,0.4263300011490291,0.09841129887095572,0.5862395241957286,0.16853143553432498,0.5527314767406837,0.3000204695833057,0.1091891807998386,0.5453048095182731,0.1819463167524965,0.3564287939917099
10,20:80,0.7470029491746141,0.16916537612441926,0.39655505348936004,0.23716090586781535,0.5665065162012689,0.6267316161012636,0.048305093932594016,0.08634654885090881,0.06195213168998909,0.3239899656991603
10,Natural,0.5984488107549121,0.11882230247783851,0.47522496427605915,0.19011054375786976,0.5734866542640777,0.4629832481356082,0.06637663522969273,0.21139014843235282,0.10102983941173202,0.31225584195937045
