trial,model,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc
1,Logistic Regression,0.5991580856661323,0.14994781944056562,0.6903099201515767,0.24637789665624132,0.7090474999241111,0.6669743381152777,0.3148502347935901,0.7629084967320261,0.44574339747094716,0.7898729110097603
1,Linear SVM,0.5948406091996548,0.14811199244680417,0.6878738665583977,0.24374184761758613,0.7063499142032743,0.6690837127078738,0.3161771510003146,0.761319073083779,0.44679821636394546,0.7906579074152075
1,Random Forest,0.3982149463559009,0.11135888172280246,0.7650561645689539,0.19441884139714682,0.626514562524831,0.4699655303682149,0.22772749118872157,0.8446078431372549,0.3587318611987382,0.7182619054166308
1,KNN (k=5),0.55,0.5404269081500647,0.6684,0.5976394849785408,0.5790758599999999,0.5813,0.5647396082178691,0.7092,0.6287791470875077,0.6186878
2,Logistic Regression,0.6498673645478272,0.2583019604121189,0.46778197929796417,0.33282378438606147,0.6190446845799148,0.7511333206823118,0.5840105202818896,0.4287977817389582,0.49451098516752556,0.780662800397656
2,Linear SVM,0.6578147952707617,0.26028451441261186,0.45215996333218744,0.3303843040942201,0.6205823193288609,0.7477737716209473,0.5789575154234436,0.4089052287581699,0.47929483459082994,0.7837157533220052
2,Random Forest,0.5989328550850721,0.23063344787573867,0.491568312898667,0.3139623884292732,0.5887614021475363,0.627213050231584,0.3818438285271231,0.5059912854030502,0.43523768453892553,0.6589926119333266
2,KNN (k=5),0.5258,0.5241392215568862,0.5602,0.541569992266048,0.54256728,0.5543,0.5540513637268565,0.5566,0.555322757657388,0.5770993999999999
3,Logistic Regression,0.7111965269212451,0.16820861627269573,0.4261904761904762,0.2412147366225766,0.6200685713756581,0.7423794218315936,0.5139316377774178,0.45549991923760297,0.4829548157521669,0.6586679609913084
3,Linear SVM,0.72287725768437,0.1749247226160209,0.4231859410430839,0.24753172899171855,0.6312252365750294,0.7474684984498109,0.5258634343093054,0.4469211579533014,0.4831891805362193,0.669470711681222
3,Random Forest,0.5268846092786401,0.12291590528159696,0.5529195011337869,0.20112175356476375,0.568948837478614,0.6110874079130756,0.33493678189754655,0.4792350903641487,0.39429870868188094,0.6158534390859605
3,KNN (k=5),0.5376,0.5340209916757148,0.5902,0.5607068212046361,0.5564155199999999,0.5577,0.5574357953414294,0.56,0.5587149556021151,0.5814482200000001
4,Logistic Regression,0.6654386951631046,0.4548935203711916,0.3432659190702382,0.39127380980068377,0.6890120530988547,0.824385938174706,0.23666233126665234,0.4542854372697305,0.3112022515753555,0.7332229290663093
4,Linear SVM,0.6643215052663871,0.449236641221374,0.3170021056755301,0.3717091097011283,0.6846049606560045,0.8274192046195399,0.2368269733403032,0.4392573201473725,0.30773672055427254,0.7342671254275503
