paradigm,strategy,model,accuracy,accuracy,precision,precision,recall,recall,specificity,specificity,f1,f1,auroc,auroc,brier_score,brier_score,ece,ece
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
emd,downsample_2x,AdaptiveNN,0.4599078340675387,0.1179502339568771,0.49104146780859176,0.13107168923435694,0.846242772368565,0.27505914235499646,0.14063216582323876,0.21058274401792282,0.5832958230015898,0.13807197666764506,0.5781690079307357,0.11114519199423857,0.24902818754037098,0.010254330147315327,0.131497381679666,0.07204234628150884
emd,downsample_2x,LogisticRegression,0.495455252840426,0.12980495262496244,0.49692836713157895,0.1288402961753604,0.8710308151363291,0.23161031497875276,0.12803297547084572,0.18017237393433735,0.613250955377951,0.14049463631460155,0.5842839383568723,0.13123831632451952,0.25009089694474584,0.003455068925104753,0.13845791198148022,0.06030835237629925
emd,downsample_2x,RandomForest,0.5014548120748737,0.1124867880785155,0.5145007978644729,0.13189885368135948,0.8252405090526936,0.21686036751116292,0.20626092007477545,0.21026606498737327,0.6068580715547702,0.1095575149879183,0.5800413110310333,0.11366386513939532,0.24776430478268563,0.0075430076691171775,0.14049984196062995,0.06262428299693094
emd,downsample_2x,XGBoost,0.5042394925346079,0.10733353249253333,0.5148176670627171,0.13137516263112567,0.8340196214534034,0.20699335573167443,0.1993972701336703,0.19786055882714862,0.6115023955275374,0.10680775364194084,0.5809249989034844,0.11359743122909814,0.24787115249923977,0.007161997438985163,0.13858791716667718,0.06350786770162024
emd,weighted_sampler,AdaptiveNN,0.4589378321491804,0.19231574292657658,0.2729703307786694,0.16053905096722076,0.7243504907292675,0.3073873654698063,0.32643718249366593,0.32702511047574356,0.3697668448912474,0.18288036768575522,0.5749492949979234,0.15203499204623958,0.2332387883892817,0.011289018973394389,0.22749842550032037,0.12132445074091684
emd,weighted_sampler,LogisticRegression,0.3793193254253726,0.2551361968149039,0.2631551088554267,0.1670074402365518,0.7585916697184534,0.3944020250018135,0.24055299731022717,0.3942045518648856,0.3399724765604494,0.1880399998137993,0.5398796095679568,0.17408070109836477,0.2493549613857339,0.0018643662047469357,0.25666014264977244,0.12617892252798235
emd,weighted_sampler,RandomForest,0.5116346175423946,0.19068564809034017,0.29296904705947513,0.17302967023373203,0.6278188793193009,0.3232721925708496,0.44274459304105074,0.33700134663093384,0.3600955574348083,0.1878757947224961,0.5661106598819665,0.1675080985610388,0.24666237731238,0.005404401992794976,0.25828231816350067,0.1198808555970679
emd,weighted_sampler,XGBoost,0.5186698933187607,0.19816737078198457,0.28938255180102646,0.17334659459049676,0.6359487222550448,0.32723161376461657,0.4392026770017835,0.34103021620850493,0.365493464575201,0.1966579213119046,0.56878515655693,0.1740569685565719,0.24797835997223178,0.005325051481355943,0.25943949844700903,0.12016387230465223
fusion,downsample_2x,AdaptiveNN,0.5969798077444841,0.11146677483133557,0.6100999926013959,0.1481326360792347,0.7178509702929099,0.28116657665262074,0.4922687553179685,0.29479305088348334,0.6019728787399947,0.18870445768217195,0.6949300190873823,0.07887719307892858,0.23107243478471448,0.016067732946245243,0.14857783170573127,0.06061153620671319
fusion,downsample_2x,LogisticRegression,0.5605068873036345,0.14199516020179978,0.5533583789829468,0.1442307790641339,0.717757096042216,0.28640346724838606,0.4385078620900954,0.2698589004867386,0.5861569405581286,0.18616129993117683,0.6625944270785374,0.14539493726639846,0.239740908458257,0.018985534873229022,0.18246433949275656,0.0554405752157708
fusion,downsample_2x,RandomForest,0.5851082001906461,0.11290209453384864,0.5926418859040029,0.1383637771571437,0.7267438636125095,0.28749147520854823,0.4552653384496234,0.307053506045058,0.594834377285401,0.206306504456687,0.6837569668281281,0.09746578093808834,0.23323528815642014,0.01849015786142598,0.1611819637515991,0.06611530290451575
fusion,downsample_2x,XGBoost,0.5842232461825525,0.11434450897253873,0.5985050347130818,0.14215136909401968,0.7265008776629959,0.298498608284224,0.4609595748013578,0.31351962376485143,0.5935454971318579,0.2021413627181487,0.6840936578144147,0.09774621821345635,0.2322014529137424,0.018080706859522896,0.15904403025107025,0.06552768248615348
fusion,weighted_sampler,AdaptiveNN,0.6276223554217333,0.20799917089255654,0.4308889650465029,0.2808471111059718,0.5637950398281419,0.28734127998927006,0.6397073221352962,0.3191023154974179,0.40428494486333316,0.17969215363792054,0.6750781803537793,0.12662629201116005,0.22648217636351475,0.014087599291134421,0.25322488730485093,0.09891583685226113
fusion,weighted_sampler,LogisticRegression,0.628901096237769,0.22839915153736523,0.41322874098740037,0.27622983541539553,0.5696476232916526,0.3055489125365158,0.6368119846012408,0.32670972040470936,0.41262664594409887,0.20579706295219882,0.6444861642456885,0.17033509311054115,0.23935166917028566,0.010002400088338494,0.267589202163306,0.12022859973882787
fusion,weighted_sampler,RandomForest,0.6266090588538044,0.2057849718608704,0.4133911653894229,0.281889860099491,0.6009340394107336,0.29167512984507793,0.6092628426700457,0.31451701925558595,0.41771604270508184,0.21356030290080724,0.6688800677821736,0.12056235152676249,0.23249752254425454,0.011236274868280874,0.2664688195188054,0.10884809824131106
fusion,weighted_sampler,XGBoost,0.6293975335349423,0.20548639836135618,0.40752240687444763,0.26294690269182475,0.6156600092595621,0.2897435245569464,0.6022053850174569,0.3189594719209336,0.4259741462965703,0.21231569291789582,0.6729138620032558,0.11906710518908674,0.2320519824113374,0.011327721222708542,0.26394845747728346,0.10927483235951531
